q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
263.195,4
66724,TableScan_Join,19110000,20000000,128000000,14,2,false,inial,true,true,false,false,100000000,false,false,900,false,true,false,false,12,12,150,70,15,.6,.65,.3,.8,.7,1800,.45,40,50,4,4,2048,1664,1664,4,true,true,RECORD,958
123998,TableScan_Join,84260100,20000000,128000000,14,2,false,inial,true,true,false,false,100000000,false,false,900,false,true,false,false,12,12,150,70,15,.6,.65,.3,.8,.7,1800,.45,40,50,4,4,2048,1664,1664,4,true,true,RECORD,958
22584,TableScan_Group,751841,20000000,128000000,14,2,false,inial,true,true,false,false,100000000,false,false,900,false,true,false,false,12,12,150,70,15,.6,.65,.3,.8,.7,1800,.45,40,50,4,4,2048,1664,1664,4,true,true,RECORD,958
14877,TableScan_Select,284147,20000000,128000000,1,2,false,inial,true,true,false,false,100000000,false,false,900,false,true,false,false,12,12,150,70,15,.6,.65,.3,.8,.7,1800,.45,40,50,4,4,2048,1664,1664,4,true,true,RECORD,958
295.358,4
68866,TableScan_Join,19110000,20000000,192000000,15,1,false,none,false,true,false,false,30000000,false,true,500,true,true,true,true,6,2,100,70,10,.5,.55,.4,.5,.2,1900,.40,70,50,2,1,1024,1024,1664,4,true,true,RECORD,259
145347,TableScan_Join,84260100,20000000,192000000,15,1,false,none,false,true,false,false,30000000,false,true,500,true,true,true,true,6,2,100,70,10,.5,.55,.4,.5,.2,1900,.40,70,50,2,1,1024,1024,1664,4,true,true,RECORD,259
29189,TableScan_Group,751841,20000000,192000000,15,1,false,none,false,true,false,false,30000000,false,true,500,true,true,true,true,6,2,100,70,10,.5,.55,.4,.5,.2,1900,.40,70,50,2,1,1024,1024,1664,4,true,true,RECORD,259
15829,TableScan_Select,284147,20000000,192000000,1,1,false,none,false,true,false,false,30000000,false,true,500,true,true,true,true,6,2,100,70,10,.5,.55,.4,.5,.2,1900,.40,70,50,2,1,1024,1024,1664,4,true,true,RECORD,259
315.208,5
66356,TableScan_Join,19110000,20000000,384000000,5,4,true,none,true,true,true,false,90000000,true,false,600,true,true,true,true,12,2,130,20,15,.9,.70,.2,.9,.3,1600,.50,20,40,3,2,1536,1536,1536,2,true,false,BLOCK,479
161983,TableScan_Join,84260100,20000000,384000000,5,4,true,none,true,true,true,false,90000000,true,false,600,true,true,true,true,12,2,130,20,15,.9,.70,.2,.9,.3,1600,.50,20,40,3,2,1536,1536,1536,2,true,false,BLOCK,479
15448,TableScan_Group,284147,20000000,384000000,5,4,true,none,true,true,true,false,90000000,true,false,600,true,true,true,true,12,2,130,20,15,.9,.70,.2,.9,.3,1600,.50,20,40,3,2,1536,1536,1536,2,true,false,BLOCK,479
14376,TableScan_Group,284147,20000000,384000000,5,4,true,none,true,true,true,false,90000000,true,false,600,true,true,true,true,12,2,130,20,15,.9,.70,.2,.9,.3,1600,.50,20,40,3,2,1536,1536,1536,2,true,false,BLOCK,479
